,lower Cartera Vigente,upper Cartera Vigente
2019-07-01,2523218.8728314163,2654364.382164522
2019-08-01,2539417.43179322,2711133.894234087
2019-09-01,2531166.356561118,2736735.122785249
2019-10-01,2562311.1325041326,2796785.79362325
2019-11-01,2569742.3145089024,2829941.795096045
2019-12-01,2584353.2548826886,2867952.5854859827
2020-01-01,2563078.301460837,2868288.8093296355
2020-02-01,2582963.8271430167,2908353.3186313934
2020-03-01,2597536.034752022,2941924.171811243
2020-04-01,2623033.2733642785,2985425.4044137103
2020-05-01,2668691.7568794372,3048234.8036529873
2020-06-01,2688931.4210896585,3084883.175803383
2020-07-01,2657307.0020485446,3087327.1183865536
2020-08-01,2679084.3071387936,3137643.1696320395
2020-09-01,2672147.1729973597,3157868.093502403
2020-10-01,2709453.9378159195,3220866.1256219195
2020-11-01,2718798.0668252693,3254674.3034058814
2020-12-01,2705596.8776202025,3264867.7456980366
2021-01-01,2687498.019498525,3269223.4739739755
2021-02-01,2709253.900648175,3312598.827604237
2021-03-01,2734473.3484477815,3358689.4150542947
2021-04-01,2749820.1251253234,3394231.7130799815
2021-05-01,2781115.959861517,3445109.1010728087
2021-06-01,2792370.786108048,3475384.320718099
2021-07-01,2763688.435612392,3494260.926028305
2021-08-01,2780165.9340368095,3550385.0343661266
2021-09-01,2768890.3634544034,3577308.81921086
2021-10-01,2798184.6323405155,3643026.3858828326
2021-11-01,2801554.65440039,3681318.213183953
2021-12-01,2799418.945190478,3712769.5214776313
2022-01-01,2774259.3785704426,3720004.9759828174
2022-02-01,2789658.967290419,3766726.100990286
2022-03-01,2803409.3385813795,3810824.6619067183
2022-04-01,2819384.925905932,3856260.561389183
2022-05-01,2853787.7134214863,3919309.432233611
2022-06-01,2865066.668436695,3958484.2387457043
2022-07-01,2831756.992626356,3970730.5381889064
2022-08-01,2847516.788097242,4027277.0320500946
2022-09-01,2834790.3745388757,4054280.142069819
2022-10-01,2864612.1964013767,4122545.6155607835
2022-11-01,2867222.932564696,4162462.7547089118
2022-12-01,2854359.4341003923,4185860.4661995005
2023-01-01,2828962.264806755,4195762.870949661
2023-02-01,2843691.9594646203,4244903.144509366
2023-03-01,2859734.4173286734,4294531.153573226
2023-04-01,2870974.5697201705,4338588.471079808
2023-05-01,2899212.042598251,4398925.16603307
2023-06-01,2906133.1572958017,4437272.713880978
2023-07-01,2873548.360588067,4455335.34803458
2023-08-01,2886888.878194278,4514472.7130932
2023-09-01,2871986.5284864767,4544448.6756864
2023-10-01,2898301.568922955,4614433.943645811
2023-11-01,2898018.9903606456,4656741.195663148
2023-12-01,2887951.4387679845,4688255.829954571
2024-01-01,2859176.657775946,4700124.28107167
2024-02-01,2870720.8870271933,4751433.6208107835
2024-03-01,2881812.9983797222,4801467.296415129
2024-04-01,2892154.4192911335,4849975.877121147
2024-05-01,2920302.024984234,4915560.679277522
2024-06-01,2926068.9598202715,4958075.193650002
2024-07-01,2890705.4017201643,4975115.835959625
2024-08-01,2902660.4650379675,5035538.951500379
2024-09-01,2886133.639869811,5066676.3435865715
2024-10-01,2911495.052369666,5138653.56305014
2024-11-01,2909822.132217047,5182643.5406310065
2024-12-01,2894993.6913592997,5212578.173045402
2025-01-01,2864993.24035167,5226492.4801031
2025-02-01,2875158.870047059,5279770.995209025
2025-03-01,2885865.399440367,5332830.925834488
2025-04-01,2893441.959193432,5382040.179489208
2025-05-01,2918335.7868040567,5447881.579387642
2025-06-01,2921453.6255287807,5491294.618954875
2025-07-01,2885529.972720364,5511103.77257202
2025-08-01,2895763.0877546896,5573306.769002525
2025-09-01,2877577.970257963,5606371.504928115
2025-10-01,2900807.3106285864,5679877.481635862
2025-11-01,2897187.8666384346,5725644.094198119
2025-12-01,2882314.0819526236,5759308.426772401
2026-01-01,2850166.3601673497,5774893.43796461
2026-02-01,2858233.79496726,5829926.995610967
2026-03-01,2866232.1935466854,5884160.701658015
2026-04-01,2872456.0048592985,5935922.0943009555
2026-05-01,2896259.1096918434,6004595.719885709
2026-06-01,2897917.1593412934,6050485.712661172
2026-07-01,2860160.628474053,6070844.550303645
2026-08-01,2868987.988263132,6134419.640407236
2026-09-01,2849305.867129606,6168825.048372806
2026-10-01,2871251.4234135034,6243965.363524232
2026-11-01,2866188.678824738,6291273.9901102055
2026-12-01,2848722.4233109457,6325390.008995657
2027-01-01,2815165.4711927464,6342661.158180899
2027-02-01,2821762.6410519397,6399364.368444526
2027-03-01,2828617.5056654746,6455633.141189723
2027-04-01,2832886.811977729,6508652.136448173
2027-05-01,2854563.4515934438,6578440.332056629
2027-06-01,2854293.040094317,6625667.765723457
2027-07-01,2815538.9840160017,6647769.724733178
2027-08-01,2822917.5666136593,6712813.150986662
2027-09-01,2801796.693185048,6748748.147266371
2027-10-01,2822128.6907582763,6825298.332540264
